Student_ID,Exam_Score,Weight_Apple (g),Height (cm),Daily_Sales ($),Lifespan_Bulb (hrs)
1,74.97,136.43,172.79,3415.54,976.41
2,68.62,143.89,172.27,4156.01,1050.64
3,76.48,138.05,162.51,4530.38,990.09
4,85.23,152.21,174.64,5119.74,1004.53
5,67.66,173.94,158.08,5819.33,1035.87
6,67.66,134.58,164.77,5555.31,997.05
7,85.79,170.02,154.01,4056.54,909.11
8,77.67,134.37,182.47,4702.63,1052.03
9,65.31,133.05,168.15,5061.1,1062.75
10,75.43,166.37,187.34,4790.23,908.44
11,65.37,168.44,176.42,4784.56,947.84
12,65.34,167.03,173.58,3621.81,1101.19
13,72.42,123.68,165.31,4077.81,1011.6
14,50.87,140.68,161.63,4677.65,1000.18
15,52.75,166.46,174.18,2525.42,978.68
16,64.38,150.83,169.43,5512.52,948.46
17,59.87,128.53,159.29,3901.86,990.28
18,73.14,159.17,157.87,5549.47,1048.72
19,60.92,135.7,162.33,5479.13,999.22
20,55.88,185.89,184.57,4565.05,1030.51
21,84.66,180.9,187.71,5800.44,1088.29
22,67.74,162.08,171.64,5594.56,970.98
23,70.68,177.22,171.19,4752.83,1015.14
24,55.75,151.3,167.31,4662.59,1050.22
25,64.56,165.31,162.52,5877.79,953.35
26,71.11,179.55,181,5185.61,1008.9
27,58.49,154.91,184.99,5835.76,1093.62
28,73.76,144.9,162.85,3088.82,982.99
29,63.99,115.91,169.34,5078.79,1053.42
30,67.08,148.34,166.4,3738.07,992.94
31,63.98,166.47,166.64,4979.37,1089.98
32,88.52,168.91,179.49,5571.06,917.73
33,69.87,160.09,159.5,6391.31,1003.25
34,59.42,139.17,173.73,4249.47,926.06
35,78.23,110.46,175.83,4579.44,964.96
36,57.79,140.1,168.86,4923.57,964.66
37,72.09,143.91,177.14,4220.38,986.65
38,50.4,143.74,171.18,5782.85,940.59
39,56.72,162.37,179.74,4943.92,996.41
40,71.97,189.71,157.82,5097.57,1023.02
41,77.38,152.47,167.21,5496.14,923.4
42,71.71,145.67,169.43,4942.63,968.25
43,68.84,144.82,148.62,4345.97,1127.05
44,66.99,152.49,161.31,4949.58,1016.46
45,55.21,133.43,163.49,4315.05,909.11
46,62.8,152.4,177.59,5086.38,929.98
47,65.39,159.02,164.35,5797.55,1011.3
48,80.57,154.19,163.46,4060.02,1005.03
49,73.44,159.15,176.54,3774.1,970.63
50,52.37,158.67,157.06,5039.4,1109.67
51,73.24,114.56,153.43,4385.76,1130.94
52,66.15,162.74,167.11,5025.4,986.78
53,63.23,136.58,158.42,5256.32,1043.65
54,76.12,128.08,158.72,3285.05,1046.16
55,80.31,127.91,174.59,5551.88,1052.79
56,79.31,158.67,177.01,4064.27,968
57,61.61,145.55,176.31,4982.12,1096.97
58,66.91,116.36,178.87,4472.49,996.57
59,73.31,159.56,179.93,4558.43,1021.1
60,79.76,121.21,152.97,6355.17,1000.1
61,65.21,152.8,173.6,5255.41,993.02
62,68.14,154.77,165.76,5723.75,1013.92
63,58.94,167.71,164.02,5120.75,940.71
64,58.04,185.63,174.48,5496.01,901.44
65,78.13,122.71,156.16,5333.9,989.33
66,83.56,148.95,155.99,5203.56,955.98
67,69.28,144.47,175.07,5885.72,1027.38
68,80.04,158.67,173.9,5125.2,1021.69
69,73.62,154.31,171.09,6828.12,1000.67
70,63.55,142.95,162.96,5768.43,1074.08
71,73.61,141.18,175.95,4088.37,999.69
72,85.38,127.67,175.44,4858.76,927.09
73,69.64,169.76,170.68,5317.66,988.82
74,85.65,159.18,160.58,5035.6,1058.55
75,43.8,168.36,166.6,5549.5,905.79
76,78.22,143.79,176.7,5637.61,995.3
77,70.87,136.86,180.62,3912.33,1028.77
78,67.01,128.43,167.39,6024.86,1132.61
79,70.92,157.18,168,4602.55,1060.41
80,50.12,129.2,168.71,4523.28,1006.63
81,67.8,186.97,172.2,4520.7,1026.04
82,73.57,123.85,165.35,5646.86,905.12
83,84.78,155.47,146.85,4786.35,947.51
84,64.82,181.34,179.54,4469.16,1032.55
85,61.92,161.98,184.36,4660.83,1008.06
86,64.98,153.51,165.1,3564.25,1014.44
87,79.15,130.63,161.47,4326.27,1001.71
88,73.29,122.36,168.9,4008.33,999.75
89,64.7,165.4,168.5,4784.66,1005.15
90,75.13,180.12,177.96,5531.35,947.2
91,70.97,141.22,170.44,5443.1,988.55
92,79.69,127.22,163.66,6005.4,937.79
93,62.98,100.84,159.45,5827.18,969.02
94,66.72,130.38,176.93,4577.12,1059.8
95,66.08,147.73,174.8,5015.26,990.96
96,55.36,181.98,178.48,4973.96,1029.79
97,72.96,163.46,162.25,3279.16,1005.76
98,72.61,156.1,184.71,4026.19,980.76
99,70.05,142,156.05,4866.17,949.57
100,67.65,138.34,175.68,4861.68,980
101,55.85,178.11,154.72,5409.86,1009.16
102,65.79,154.01,163.68,5370.91,1029.01
103,66.57,107.95,182.49,3583.45,1006.12
104,61.98,136.53,176.65,5414.88,1032.47
105,68.39,132.84,165.63,5142.87,923.99
106,74.04,139.07,165.85,5498.7,1043.33
107,88.86,161.26,170.8,5853.49,943.59
108,71.75,147.85,174.11,4885.69,1049.18
109,72.58,148.46,180.01,5996.47,1025.12
110,69.26,176.27,166.35,4288.48,906.49
111,50.81,136.07,157.11,4243.41,1036.85
112,69.73,187.28,171.26,5343.02,1049.75
113,70.6,136.57,166.34,4704.99,1062.89
114,94.63,151.78,159.59,5209.31,961.57
115,68.08,144.38,172.38,6594.39,1008.97
116,73.02,152.47,168.3,5314.8,1034.72
117,69.65,158.89,172.45,5169.74,1036.82
118,58.31,158.68,162.84,4304.62,1020.48
119,81.43,134.94,173.89,3640.02,978.67
120,77.52,127.54,159.46,4941.96,1049.4
121,77.91,200.06,163.38,5853.5,1049.69
122,60.91,140.32,168.06,4741.65,992.29
123,84.03,163.98,183.93,5321.17,960.82
124,55.98,117.85,176.28,6141.2,963.6
125,75.87,144.41,178.62,6121.21,1068.24
126,91.9,147.46,181.34,5343.05,1047.53
127,60.09,159.46,198.82,5136.09,999
128,64.34,95.55,170.33,3785.09,990.04
129,71,153.32,181.36,4495.84,911.59
130,64.97,127.01,178.1,4775.4,995.78
131,54.49,156.49,177.97,4318.13,940.44
132,70.69,129.27,184.19,5198.76,1007.95
133,59.38,132.89,166.65,6529.32,1059.26
134,74.74,144.53,166.01,6214.21,950.98
135,60.81,128.95,172.56,5195.1,1011.93
136,85.5,140.49,168.54,5623.55,1049.89
137,62.17,126.13,172.55,4417.12,1011.01
138,66.78,113.34,182.5,6171.27,973.8
139,78.14,170.36,166.17,3750.43,1000.52
140,57.69,124.08,167.56,5730.26,1047.86
141,72.27,146.43,171.39,5396.47,1013.13
142,83.07,165.06,168.17,4395.31,999.83
143,53.93,137.7,154.69,4832.97,1057.81
144,71.85,133.5,165.36,4092.6,1025.75
145,72.6,154.52,175.5,4126.69,939.85
146,77.82,172.36,181.5,3727.16,1031.57
147,57.63,126.61,160.76,5614.01,1047.48
148,56.8,147,160.73,5964.28,938.13
149,75.22,115.35,170.24,3270.55,886.56
150,72.97,142.14,153.4,6470.64,947.9
151,72.5,150.68,166.44,4990.39,994.88
152,73.46,132.91,156.11,5231.88,1050.49
153,63.2,140.86,180.95,3822.07,955.45
154,72.32,121.84,163.85,6056.66,1027.76
155,72.93,151.54,183.22,5160.2,855.38
156,62.86,171.11,178.91,5911.06,1009.02
157,88.66,128.06,164.83,5976.69,979.66
158,74.74,137.55,161.42,6067.9,1104.93
159,58.09,160.05,168.45,4481.38,905.4
160,76.57,174.24,169.16,4833.63,999.27
161,60.25,120.14,172.77,4510.64,905.09
162,77.87,146.62,163.79,5716.08,972.51
163,81.59,155.66,175.97,5266.31,914.94
164,61.79,147.96,172.12,5855.32,1115.04
165,79.63,100.46,167.28,5890.19,982.22
166,74.13,160.02,164.3,3618.19,989.45
167,78.22,180.39,168.52,6080.62,997.86
168,88.97,152.33,163.46,5760.69,943.39
169,67.55,129.38,170.47,4704.62,1052.76
170,62.46,139.74,170.68,5279.83,1032.01
171,61.1,185.4,172.09,4901.06,1045.9
172,61.84,168.2,184.13,5492.84,939.1
173,69.23,162.8,168.94,4702.88,1056.77
174,73.41,157.13,178.04,5383.14,1050.99
175,72.77,136.78,171.84,5053.84,988.38
176,78.27,145.99,168.09,4654.24,1044.75
177,70.13,148.44,169.05,5152.11,1013.63
178,84.54,160.99,169.53,7165.18,920.3
179,67.35,180.18,172.24,4451.57,990.86
180,97.2,172.37,162.33,4800.05,975.92
181,76.26,121.61,158.28,4465.51,1004.27
182,61.43,154.48,175.23,4549.43,1051.06
183,59.29,164.74,177.18,5652.62,917.93
184,74.82,162.38,175.97,5572.71,977.82
185,67.77,137.42,171.24,4995.31,958.91
186,77.14,208.28,176.14,5821.04,961.06
187,74.73,124.46,175.71,5634.75,958.84
188,69.27,128.34,176.3,4870.13,1003.41
189,61.53,154.67,163.12,3772.91,1026.16
190,54.85,192.34,161.22,5663.83,1017.42
191,65.53,133.28,166.89,5135.73,1009.28
192,78.56,144.68,169.86,5017.78,1031.09
193,72.14,171.55,168.06,4627.16,1119.02
194,57.54,149.64,154.99,5595.72,1006.79
195,71.73,143.31,183.77,5278.8,1051.06
196,73.85,161.31,167.81,4810.54,1048.21
